wav_filename,wav_filesize,transcript
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.10+13.wav,802664,dziesięć dodać trzynaście
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.15+7.wav,820304,piętnacie dodać siedem
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.8+5.wav,1478444,osiem dodać pięć
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.2+2.wav,1344044,dwa dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.2+4.wav,1420844,dwa dodać cztery
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.1+9.wav,802664,jeden dodać dziewięć
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.8+15.wav,820304,osiem dodać piętnacie
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.4+2.wav,1420844,cztery dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.10+14.wav,802664,dziesięć dodać czteernaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.15+1.wav,1958444,piętnacie dodać jeden
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.3+1.wav,1593644,trzy dodać jeden
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.10+13.wav,1747244,dziesięć dodać trzynaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.13+1.wav,820304,trzynaście dodać jeden
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.9+11.wav,1651244,dziewięć dodać jedenaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.11+13.wav,776204,jedenaście dodać trzynaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.12+2.wav,688004,dwanaście dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.15+2.wav,785024,piętnacie dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.13+6.wav,1612844,trzynaście dodać sześć
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.4+6.wav,688004,cztery dodać sześć
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.3+3.wav,1344044,trzy dodać trzy
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.3+14.wav,1536044,trzy dodać czteernaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.11+9.wav,1651244,jedenaście dodać dziewięć
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.15+12.wav,855584,piętnacie dodać dwanaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.7+11.wav,1574444,siedem dodać jedenaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.9+9.wav,1651244,dziewięć dodać dziewięć
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.3+2.wav,617444,trzy dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.5+2.wav,643904,pięć dodać dwa
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.3+12.wav,688004,trzy dodać dwanaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.12+8.wav,723284,dwanaście dodać osiem
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.11+13.wav,776204,jedenaście dodać trzynaście
/home/bmadmin/DeepSpeech/data/polish/liczby_Samsung.trimmed.15+6.wav,820304,piętnacie dodać sześć
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.7+5.wav,1478444,siedem dodać pięć
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.10+4.wav,1632044,dziesięć dodać cztery
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.12+8.wav,1574444,dwanaście dodać osiem
/home/bmadmin/DeepSpeech/data/polish/liczby_laptop.trimmed.1+10.wav,1804844,jeden dodać dziesięć
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.12+9.wav,758564,dwanaście dodać dziewięć
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.3+7.wav,1420844,trzy dodać siedem
/home/bmadmin/DeepSpeech/data/polish/liczby_SonyAgi.trimmed.12+8.wav,723284,dwanaście dodać osiem
/home/bmadmin/DeepSpeech/data/polish/liczby_Huawei.trimmed.13+10.wav,1747244,trzynaście dodać dziesięć
